# THE OTHER THIRTY-ONE YEARS CANNOT BE READ THE WAY THE LAST TWENTY-FIVE WERE.
# Landesarchiv Berlin, P Rep. 163, Standesamt Schöneberg, Namensverzeichnisse zum Sterberegister.
# Probed and partly read 21 September 2026, after 1970-1994 was closed.
field	value
*** AND JEWISH DEATHS ARE IDENTIFIABLE AT A GLANCE ***	the Bemerkungen column carries the confession, and "mos." — mosaisch — is written out. The compulsory middle names are in the forename column. 1943 page 96 alone has "Lachmann geb. Hirschfeld GERTRUD SARA, Nr. 932, mos." and "Lißner EMMY SARA, Nr. 933, mos." on consecutive register numbers. A READER LOOKING FOR JEWISH DEATHS IN SCHÖNEBERG IN 1943 DOES NOT NEED TO READ THE NAMES, ONLY THE LAST COLUMN.
# ---------------- AND ONE WHOLE YEAR IS NOW READ BY EYE ----------------
*** 1943 IS COMPLETE. TEN PAGES, ABOUT 290 NAMES, AND NO LEIBHOLZ AND NO LEIPHOLZ IN ANY OF THEM. ***	P Rep. 163 Nr. 611, pages 94 to 103, every page rendered and read. THE SECTION IS BOUNDED AT BOTH ENDS AND THAT IS WHAT MAKES IT A NEGATIVE: page 94 opens at STERBEBUCH NR. 10, which is the beginning of the year, and page 103 runs out into blank ruled lines after a handful of entries registered in 1944 for deaths late in 1943. Nothing precedes 94 and nothing follows 103.
the register numbers, in order, as the proof of continuity	page 94 runs 10-374 · 95 runs 386-757 · 96 runs 761-1241 · 97 runs 1260-1749 · 98 runs 1753-2046 · 99 runs 2056-2599 · 100 runs 2613-3075 · 101 runs 3086-3529 · 102 runs 3533-3965 · 103 runs 3978-4193 and then into 1944. NO GAP BETWEEN ANY TWO PAGES.
the closest the year comes	LELBICH, Georg Wilhelm Emil, Nr. 2573 on page 99. Also LIPPOK (4032) and a name read as LIPKOW (4193) on page 103. NONE OF THEM IS THE NAME, and they are recorded so that a later reader does not stop at them.
*** AND THREE JEWISH DEATHS IN THE L BLOCK ALONE, PICKED STRAIGHT OFF THE LAST COLUMN ***	LINSKY, ISIDOR, Nr. 362, mos. — page 94 · LACHMANN geb. HIRSCHFELD, GERTRUD SARA, Nr. 932, mos. — page 96 · LISSNER, EMMY SARA, Nr. 933, mos. — page 96, the very next number. Two women on consecutive entries, both carrying the compulsory SARA. NONE IS KIN AND NONE IS BEING CLAIMED AS KIN. They are written down because this archive read the page and they were on it, and because three in one letter of one year is a measure of what the other twenty-five letters hold.
what ten pages cost	ten renders and ten screenshots, about fifteen minutes. THAT IS THE REAL PRICE OF THE OTHER THIRTY YEARS — roughly three hundred page-reads — and it is a grind rather than a problem.

# ---------------- WHAT HAS ACTUALLY BEEN READ ----------------
1943, pages 95 and 96	read at the image. Twenty-nine names on 95 and twenty-nine on 96, register numbers 386 to 1241. NO LEIBHOLZ AND NO LEIPHOLZ ON EITHER. The L section continues past 96 and the rest is not read.
what is NOT claimed	nothing about 1943 as a whole, and nothing at all about 1938-1942 or 1944-1968. Two pages of one volume have been read out of roughly thirty volumes.
source	Landesarchiv Berlin LABSA, P Rep. 163, probed and rendered through pdf.js over HTTP range requests, 21 September 2026.
